network,station,channel,location,latitude,longitude,elevation
AK,BAE,BHZ,,61.1319,-148.1234,578.0
AK,BAW,BHZ,,61.1501,-148.1501,542.0
AK,BMR,BHZ,,60.9677,-144.6051,842.0
AK,CAPN,BHZ,,60.768299,-151.1539,47.0
AK,CUT,BHZ,,62.4058,-150.2625,574.0
AK,DHY,BHZ,,63.0753,-147.3759,1611.0
AK,DIV,BHZ,,61.1292,-145.7749,941.4
AK,EYAK,BHZ,,60.548698,-145.75,133.9
AK,FID,BHZ,,60.7277,-146.5987,500.0
AK,GHO,BHZ,,61.771,-148.926,1032.0
AK,GLB,BHZ,,61.4417,-143.8123,854.9
AK,GLI,BHZ,,60.8792,-147.095901,430.0
AK,GOAT,BHZ,,60.5805,-144.7292,895.5
AK,HARP,BHZ,,62.3987,-145.1568,581.0
AK,HIN,BHZ,,60.396,-146.503494,622.9
AK,KLU,BHZ,,61.4924,-145.9227,1047.1
AK,KNK,BHZ,,61.4131,-148.4585,598.0
AK,M23K,BHZ,,61.7929,-147.7262,583.0
AK,P23K,BHZ,,59.9979,-147.4031,287.0
AK,PS11,BHZ,,62.0789,-145.4751,375.0
AK,PS12,BHZ,,61.4749,-145.1458,562.7
AK,PWL,BHZ,,60.858398,-148.333405,550.0
AK,Q23K,BHZ,,59.4296,-146.3399,46.0
AK,RAG,BHZ,,60.3863,-144.6773,752.0
AK,RC01,BHZ,,61.0889,-149.739,390.0
AK,SAW,BHZ,,61.806999,-148.331604,781.0
AK,SCM,BHZ,,61.832001,-147.328995,1050.0
AK,SKN,BHZ,,61.98,-151.5317,581.0
AK,SLK,BHZ,,60.5117,-150.223099,655.0
AK,SSN,BHZ,,61.4636,-150.7467,1306.0
AK,SWD,BHZ,,60.1043,-149.4526,77.0
AK,VMT,BHZ,,61.083,-146.368,97.0
AK,WAT1,HHZ,,62.8295,-148.5509,722.0
AK,WAT6,BHZ,,62.580799,-147.740005,1681.0
AK,WAT7,BHZ,,62.8331,-148.8476,1232.0
AT,PMR,BHZ,,61.592201,-149.130798,100.0
AV,N25K,BHZ,,61.6061,-144.5982,1087.0
AV,SPBL,BHZ,,61.3764,-151.8947,927.0
AV,SPCG,BHZ,,61.2913,-152.0228,1329.0
AV,SPU,BHZ,,61.1811,-152.0566,800.0
AV,STLK,BHZ,,61.4982,-151.8349,945.0
AV,WACK,BHZ,,61.9858,-144.3305,2280.0
AV,WAZA,BHZ,,62.0746,-144.1544,2531.0
